customer_id,signup_date,city,age_group,acquisition_channel
CUST0045,2025-06-29,Mumbai,18-24,Organic
CUST0046,2026-07-13,Chennai,25-34,Referral
CUST0047,2025-12-05,Hyderabad,25-34,Organic
CUST0048,2026-06-11,Chennai,25-34,Referral
CUST0049,2026-03-12,Pune,35-44,Social_Media
CUST0050,2026-04-23,Pune,35-44,Social_Media
CUST0051,2026-04-16,Kolkata,35-44,Organic
CUST0052,2025-08-21,Chennai,35-44,Email
CUST0053,2025-10-31,Ahmedabad,35-44,Organic
CUST0054,2025-12-14,Ahmedabad,25-34,Organic
CUST0055,2025-12-27,Kochi,45-54,Paid_Ads
CUST0056,2025-06-19,Ahmedabad,35-44,Paid_Ads
CUST0057,2026-01-16,Chennai,25-34,Social_Media
CUST0058,2025-08-04,Pune,35-44,Social_Media
CUST0059,2026-04-09,Bengaluru,25-34,Organic
CUST0060,2026-03-14,Chennai,35-44,Email
CUST0061,2026-06-23,Mumbai,35-44,Organic
CUST0062,2026-04-09,Kochi,45-54,Paid_Ads
CUST0063,2025-11-01,Jaipur,55+,Organic
CUST0064,2026-07-12,Mumbai,35-44,Email
CUST0065,2025-11-20,Ahmedabad,35-44,Organic
CUST0066,2025-10-15,Mumbai,45-54,Organic
CUST0067,2026-06-16,Ahmedabad,25-34,Paid_Ads
CUST0068,2025-11-03,Hyderabad,45-54,Email
CUST0069,2025-07-03,Pune,25-34,Email
CUST0070,2025-12-15,Kolkata,18-24,Social_Media
CUST0071,2026-05-01,Ahmedabad,18-24,Email
CUST0072,2025-08-19,Pune,45-54,Email
CUST0073,2025-12-12,Kochi,18-24,Paid_Ads
CUST0074,2025-07-25,Ahmedabad,25-34,Organic
CUST0075,2026-03-16,Bengaluru,25-34,Social_Media
CUST0076,2025-12-17,Kolkata,18-24,Referral
CUST0077,2025-10-17,Ahmedabad,25-34,Paid_Ads
CUST0078,2025-09-04,Delhi,35-44,Organic
CUST0079,2026-01-24,Ahmedabad,18-24,Social_Media
CUST0080,2026-03-09,Jaipur,45-54,Organic
CUST0081,2026-06-30,Jaipur,45-54,Email
CUST0082,2025-12-01,Ahmedabad,25-34,Organic
CUST0083,2025-08-07,Kolkata,18-24,Organic
CUST0084,2026-05-16,Bengaluru,35-44,Social_Media
CUST0085,2026-02-20,Ahmedabad,18-24,Organic
CUST0086,2026-03-22,Delhi,25-34,Organic
CUST0087,2025-07-11,Chennai,55+,Paid_Ads
CUST0088,2025-10-10,Delhi,55+,Social_Media
CUST0089,2026-04-19,Delhi,45-54,Organic
CUST0090,2026-05-16,Mumbai,25-34,Organic
CUST0091,2025-11-30,Kochi,35-44,Social_Media
CUST0092,2026-05-05,Mumbai,35-44,Email
CUST0093,2026-05-20,Hyderabad,25-34,Paid_Ads
CUST0094,2025-11-10,Kochi,35-44,Organic
CUST0095,2026-06-13,Chennai,18-24,Organic
CUST0096,2025-09-30,Pune,25-34,Organic
CUST0097,2025-09-09,Ahmedabad,35-44,Organic
CUST0098,2026-03-14,Delhi,18-24,Referral
CUST0099,2026-02-23,Mumbai,18-24,Organic
CUST0100,2025-07-29,Ahmedabad,45-54,Paid_Ads
CUST0101,2026-05-16,Mumbai,55+,Social_Media
CUST0102,2025-08-23,Chennai,35-44,Paid_Ads
CUST0103,2026-05-05,Kochi,45-54,Organic
CUST0104,2025-06-04,Kochi,55+,Social_Media
CUST0105,2026-05-01,Delhi,18-24,Social_Media
CUST0106,2026-04-27,Ahmedabad,25-34,Social_Media
CUST0107,2026-04-24,Kolkata,25-34,Organic
CUST0108,2026-03-07,Pune,18-24,Organic
CUST0109,2025-12-16,Mumbai,35-44,Email
CUST0110,2026-03-24,Delhi,25-34,Paid_Ads
CUST0111,2025-09-25,Kolkata,25-34,Organic
CUST0112,2026-04-24,Kochi,18-24,Paid_Ads
CUST0113,2026-01-20,Hyderabad,25-34,Referral
CUST0114,2025-12-10,Ahmedabad,45-54,Email
CUST0115,2025-12-30,Jaipur,18-24,Organic
CUST0116,2026-01-25,Kochi,25-34,Email
CUST0117,2025-06-16,Pune,25-34,Organic
CUST0118,2025-07-29,Mumbai,25-34,Paid_Ads
CUST0119,2025-09-12,Bengaluru,35-44,Referral
CUST0120,2025-07-19,Jaipur,25-34,Organic
CUST0121,2025-12-02,Jaipur,18-24,Organic
CUST0122,2026-03-08,Kolkata,25-34,Paid_Ads
CUST0123,2026-03-02,Mumbai,45-54,Email
CUST0124,2025-12-15,Mumbai,35-44,Paid_Ads
CUST0125,2026-05-26,Pune,35-44,Email
CUST0126,2026-01-24,Chennai,35-44,Social_Media
CUST0127,2025-07-04,Hyderabad,45-54,Paid_Ads
CUST0128,2026-04-18,Kolkata,18-24,Social_Media
CUST0129,2026-01-28,Chennai,25-34,Organic
CUST0130,2026-02-22,Hyderabad,35-44,Organic
CUST0131,2026-01-24,Hyderabad,25-34,Social_Media
CUST0132,2026-01-19,Pune,45-54,Social_Media
CUST0133,2025-07-09,Ahmedabad,25-34,Organic
CUST0134,2026-01-21,Jaipur,45-54,Paid_Ads
CUST0135,2026-04-30,Pune,45-54,Referral
CUST0136,2025-10-06,Bengaluru,35-44,Social_Media
CUST0137,2026-02-09,Kochi,45-54,Referral
CUST0138,2025-06-13,Pune,35-44,Paid_Ads
CUST0139,2025-10-24,Delhi,45-54,Paid_Ads
CUST0140,2025-12-01,Pune,25-34,Paid_Ads
CUST0141,2026-07-18,Hyderabad,25-34,Referral
CUST0142,2025-08-30,Delhi,35-44,Social_Media
CUST0143,2025-09-25,Chennai,18-24,Paid_Ads
CUST0144,2025-11-19,Kochi,25-34,Organic
CUST0145,2026-07-22,Ahmedabad,55+,Organic
CUST0146,2026-05-25,Ahmedabad,35-44,Social_Media
CUST0147,2025-06-15,Chennai,18-24,Social_Media
CUST0148,2025-09-07,Mumbai,25-34,Organic
CUST0149,2026-05-12,Delhi,25-34,Organic
CUST0150,2025-06-25,Kochi,18-24,Paid_Ads
CUST0151,2026-05-26,Hyderabad,55+,Organic
CUST0152,2025-09-27,Jaipur,25-34,Social_Media
CUST0153,2026-06-21,Kolkata,25-34,Organic
CUST0154,2025-10-02,Bengaluru,35-44,Organic
CUST0155,2025-11-30,Ahmedabad,18-24,Email
CUST0156,2026-03-06,Jaipur,25-34,Organic
CUST0157,2025-07-24,Hyderabad,35-44,Organic
CUST0158,2026-01-20,Mumbai,35-44,Organic
CUST0159,2025-12-30,Kolkata,55+,Organic
CUST0160,2026-04-26,Kochi,35-44,Organic
CUST0161,2026-07-24,Hyderabad,25-34,Organic
CUST0162,2026-03-07,Kolkata,45-54,Organic
CUST0163,2025-11-19,Mumbai,45-54,Organic
CUST0164,2025-11-18,Kolkata,35-44,Paid_Ads
CUST0165,2025-11-23,Kolkata,55+,Social_Media
CUST0166,2026-05-08,Hyderabad,45-54,Paid_Ads
CUST0167,2025-10-13,Kolkata,45-54,Organic
CUST0168,2025-08-10,Jaipur,18-24,Paid_Ads
CUST0169,2025-10-19,Jaipur,35-44,Social_Media
CUST0170,2025-06-10,Hyderabad,25-34,Social_Media
CUST0171,2025-07-15,Bengaluru,35-44,Organic
CUST0172,2025-07-08,Bengaluru,35-44,Organic
CUST0173,2026-04-21,Pune,55+,Organic
CUST0174,2026-03-31,Mumbai,55+,Organic
CUST0175,2026-03-20,Jaipur,25-34,Paid_Ads
CUST0176,2025-12-11,Ahmedabad,35-44,Paid_Ads
CUST0177,2026-03-29,Jaipur,35-44,Organic
CUST0178,2025-08-07,Mumbai,25-34,Paid_Ads
CUST0179,2026-06-14,Hyderabad,18-24,Paid_Ads
CUST0180,2025-12-28,Kochi,18-24,Organic
CUST0181,2026-06-29,Bengaluru,45-54,Social_Media
CUST0182,2025-08-03,Kolkata,25-34,Organic
CUST0183,2025-12-26,Kochi,55+,Email
CUST0184,2026-03-20,Hyderabad,25-34,Organic
CUST0185,2025-12-26,Hyderabad,55+,Social_Media
CUST0186,2025-12-05,Hyderabad,25-34,Email
CUST0187,2025-08-09,Mumbai,45-54,Email
CUST0188,2025-11-08,Hyderabad,18-24,Social_Media
CUST0189,2025-09-09,Jaipur,35-44,Social_Media
CUST0190,2025-10-05,Kolkata,45-54,Referral
CUST0191,2026-03-15,Kochi,55+,Social_Media
CUST0192,2026-02-20,Jaipur,45-54,Organic
CUST0193,2026-02-11,Kochi,18-24,Paid_Ads
CUST0194,2025-10-30,Bengaluru,25-34,Paid_Ads
CUST0195,2026-07-09,Bengaluru,18-24,Social_Media
CUST0196,2025-07-07,Jaipur,18-24,Paid_Ads
CUST0197,2025-10-22,Bengaluru,35-44,Paid_Ads
CUST0198,2025-07-20,Hyderabad,35-44,Referral
CUST0199,2025-10-21,Kolkata,45-54,Organic
CUST0200,2026-07-09,Jaipur,45-54,Organic
CUST0201,2025-11-01,Kochi,35-44,Paid_Ads
CUST0202,2026-06-17,Kochi,45-54,Paid_Ads
CUST0203,2025-12-25,Mumbai,18-24,Organic
CUST0204,2026-03-21,Ahmedabad,25-34,Paid_Ads
CUST0205,2025-12-10,Jaipur,35-44,Paid_Ads
CUST0206,2025-09-20,Kolkata,45-54,Paid_Ads
CUST0207,2026-04-17,Jaipur,18-24,Paid_Ads
CUST0208,2026-07-13,Jaipur,35-44,Social_Media
CUST0209,2025-09-19,Pune,35-44,Organic
CUST0210,2026-04-24,Hyderabad,18-24,Email
CUST0211,2025-09-18,Pune,25-34,Email
CUST0212,2026-03-29,Bengaluru,45-54,Paid_Ads
CUST0213,2026-04-28,Mumbai,35-44,Paid_Ads
CUST0214,2025-12-06,Mumbai,25-34,Paid_Ads
CUST0215,2026-04-06,Kolkata,45-54,Social_Media
CUST0216,2025-09-23,Chennai,25-34,Referral
CUST0217,2025-07-04,Chennai,45-54,Social_Media
CUST0218,2025-07-11,Ahmedabad,25-34,Paid_Ads
CUST0219,2025-12-05,Chennai,35-44,Referral
CUST0220,2026-06-15,Kolkata,25-34,Organic
